<Acq date>	TB00001K	TB00002K	TB00003K
13-01-2014_02:03:15.608	14.0	16.0	14.0
13-01-2014_02:03:47.608	14.0	16.0	14.0
13-01-2014_02:04:19.609	14.0	16.0	14.0
13-01-2014_02:04:35.608	14.0	16.0	14.0
13-01-2014_02:04:51.610	14.0	16.0	14.0
13-01-2014_02:05:23.608	14.0	16.0	14.0
13-01-2014_02:05:55.608	14.0	16.0	13.666666666666666
13-01-2014_02:06:27.608	14.0	16.0	14.0
13-01-2014_02:06:43.608	14.0	16.0	13.666666666666666
13-01-2014_02:06:59.609	14.0	16.0	13.666666666666666
13-01-2014_02:07:31.608	14.0	16.0	13.666666666666666
13-01-2014_02:08:03.608	14.0	16.0	13.666666666666666
13-01-2014_02:08:35.608	14.0	16.0	13.666666666666666
13-01-2014_02:08:51.608	14.0	16.0	13.666666666666666
13-01-2014_02:09:07.609	14.0	16.0	13.666666666666666
13-01-2014_02:09:39.608	14.0	16.0	13.666666666666666
13-01-2014_02:10:11.608	14.0	16.0	13.666666666666666
13-01-2014_02:10:43.608	14.0	16.0	13.666666666666666
13-01-2014_02:10:59.608	14.0	16.0	13.666666666666666
13-01-2014_02:11:15.609	14.0	16.0	13.666666666666666
13-01-2014_02:11:47.608	14.0	16.0	13.666666666666666
13-01-2014_02:12:19.608	14.0	16.0	13.666666666666666
13-01-2014_02:12:51.608	14.0	16.0	13.666666666666666
13-01-2014_02:13:07.608	14.0	16.0	13.666666666666666
13-01-2014_02:13:23.609	14.0	16.0	13.666666666666666
13-01-2014_02:13:55.608	14.0	16.0	13.666666666666666
13-01-2014_02:14:27.608	14.0	16.0	13.666666666666666
13-01-2014_02:14:59.608	14.0	16.0	13.666666666666666
13-01-2014_02:15:15.608	14.0	16.0	13.666666666666666
13-01-2014_02:15:31.609	14.0	16.0	13.666666666666666
13-01-2014_02:16:03.608	14.0	16.0	13.666666666666666
13-01-2014_02:16:35.608	14.0	16.0	13.666666666666666
13-01-2014_02:17:07.608	14.0	16.0	13.666666666666666
13-01-2014_02:17:23.608	14.0	16.0	13.666666666666666
13-01-2014_02:17:39.609	14.0	16.0	13.666666666666666
13-01-2014_02:18:11.608	14.0	16.0	13.666666666666666
13-01-2014_02:18:43.608	14.0	16.0	13.666666666666666
13-01-2014_02:19:15.608	14.0	16.0	13.666666666666666
13-01-2014_02:19:31.608	14.0	16.0	13.666666666666666
13-01-2014_02:19:47.609	14.0	16.0	13.666666666666666
13-01-2014_02:20:19.609	14.0	16.0	13.666666666666666
13-01-2014_02:20:51.608	14.0	16.0	13.666666666666666
13-01-2014_02:21:23.608	14.0	16.0	13.666666666666666
13-01-2014_02:21:39.608	14.0	16.0	13.666666666666666
13-01-2014_02:21:55.609	14.0	16.0	13.666666666666666
13-01-2014_02:22:27.608	14.0	16.0	13.666666666666666
13-01-2014_02:22:59.608	14.0	16.0	13.666666666666666
13-01-2014_02:23:31.608	14.0	16.0	13.666666666666666
13-01-2014_02:23:47.608	14.0	16.0	13.666666666666666
13-01-2014_02:24:03.609	14.0	16.0	13.666666666666666
13-01-2014_02:24:35.608	14.0	16.0	13.666666666666666
13-01-2014_02:25:07.608	14.0	16.0	13.666666666666666
13-01-2014_02:25:39.608	14.0	16.0	13.666666666666666
13-01-2014_02:25:55.608	14.0	16.0	13.666666666666666
13-01-2014_02:26:11.609	14.0	16.0	13.666666666666666
13-01-2014_02:26:43.608	14.0	16.0	13.666666666666666
13-01-2014_02:27:15.608	14.0	16.0	13.666666666666666
13-01-2014_02:27:47.608	14.0	16.0	13.666666666666666
13-01-2014_02:28:03.608	14.0	16.0	13.666666666666666
13-01-2014_02:28:19.609	14.0	16.0	13.666666666666666
13-01-2014_02:28:51.608	14.0	16.0	13.666666666666666
13-01-2014_02:29:23.608	14.0	16.0	13.666666666666666
13-01-2014_02:29:55.608	14.0	16.0	13.666666666666666
13-01-2014_02:30:11.608	14.0	16.0	13.666666666666666
13-01-2014_02:30:27.609	14.0	16.0	13.666666666666666
13-01-2014_02:30:59.608	14.0	16.0	13.666666666666666
13-01-2014_02:31:31.608	14.0	16.0	13.666666666666666
13-01-2014_02:32:03.608	13.666666666666666	16.0	13.666666666666666
13-01-2014_02:32:19.608	13.666666666666666	16.0	13.666666666666666
13-01-2014_02:32:35.609	13.666666666666666	16.0	13.666666666666666
13-01-2014_02:33:07.607	14.0	15.5	13.666666666666666
13-01-2014_02:33:39.607	14.0	16.0	13.666666666666666
13-01-2014_02:34:11.608	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:34:27.607	13.666666666666666	16.0	13.666666666666666
13-01-2014_02:34:43.609	13.666666666666666	16.0	13.666666666666666
13-01-2014_02:35:15.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:35:47.607	13.666666666666666	16.0	13.666666666666666
13-01-2014_02:36:19.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:36:35.607	14.0	15.5	13.666666666666666
13-01-2014_02:36:51.609	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:37:23.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:37:55.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:38:27.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:38:43.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:38:59.609	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:39:31.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:40:03.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:40:35.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:40:51.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:41:07.609	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:41:39.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:42:11.611	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:42:43.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:42:59.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:43:15.608	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:43:47.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:44:19.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:44:51.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:45:07.607	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:45:23.608	13.666666666666666	15.5	13.666666666666666
13-01-2014_02:45:55.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:46:27.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:46:59.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:47:15.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:47:31.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:48:03.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:48:35.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:49:07.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:49:23.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:49:39.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:50:11.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:50:43.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:51:15.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:51:31.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:51:47.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:52:19.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:52:51.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:53:23.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:53:39.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:53:55.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:54:27.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:54:59.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:55:31.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:55:47.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:56:03.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:56:35.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:57:07.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:57:39.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:57:55.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:58:11.608	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:58:43.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:59:15.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_02:59:47.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:00:03.607	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:00:19.609	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:00:51.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:01:23.606	13.666666666666666	15.5	13.333333333333334
13-01-2014_03:01:55.606	13.666666666666666	15.5	13.333333333333334
